restricted_product_category,prohibited_policy_text,policy_page,item_type,asin,screenshot,listing_url
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Bongs and all related accessories",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Bongs,B082J1XGZZ,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B082J1XGZZ-2020-04-18-01_32_58.png,https://www.amazon.com/Glow-dark-silicone-acrylic-smoking/dp/B082J1XGZZ
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Bongs and all related accessories",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Bongs,B0861MJB9W,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B0861MJB9W-2020-04-18-01_38_59.png,https://www.amazon.com/Amdrfo-Glass-Unique-Beautiful-Design/dp/B0861MJB9W
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Butane Honey Oil ""BHO"" extractors and kits",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Butane hash oil extractors,B0753D44VP,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B0753D44VP-2020-02-10-00_31_55.png,https://www.amazon.com/ABLAZE-Stainless-Closed-Column-Sleeve/dp/B0753D44VP
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Dab kits",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Dab kits,B079235QXN,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B079235QXN-2020-04-15-23_12_47.png,https://www.amazon.com/romatherapy-D-iffuser-K-i-t-Intelligent-T-emperature/dp/B079235QXN
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Dab kits",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Dab kits,B07RQL7YX9,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07RQL7YX9-2020-04-02-00_12_26.png,https://www.amazon.com/Poloret-e-N-A-I-L-Quartz-Kit/dp/B07RQL7YX9
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Nitrous Oxide Crackers",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Nitrous oxide crackers,B07PSHCLMR,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07PSHCLMR-2020-02-07-18_02_03.png,https://www.amazon.com/Migavan-Whipped-Dispenser-Aluminium-Quantity/dp/B07PSHCLMR
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: Wired cigarette papers",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Wired cigarette papers,B06W2JH779,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B06W2JH779-2020-02-10-00_29_28.png,https://www.amazon.com/Randys-Wired-Rolling-Papers-Units/dp/B06W2JH779
"Explosives, Weapons, and Related Items","All internal/moving gun parts, even when designed or marketed for use with paintball, airsoft, or air guns, such as: Firing pins, springs, and stops",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,Firing springs,B07PZ8L8J7,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07PZ8L8J7-2020-02-07-18_01_44.png,https://www.amazon.com/Lead-Steel-Replacement-Spring-Kit/dp/B07PZ8L8J7
"Explosives, Weapons, and Related Items","Any non-fixed stock, including telescoping, folding or collapsible stocks",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,Collapsible stock,B07SC4TM7K,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07SC4TM7K-2020-04-15-00_29_33.png,https://www.amazon.com/7-62x39mm-Platform-Understock-Military-Surplus/dp/B07SC4TM7K
"Explosives, Weapons, and Related Items","Assault weapon and AR-specific tools, such as:  AR-15/M16 armorer’s wrenches or combo wrenches",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,AR-15 armorer’s wrenches,B07Q3SWXXJ,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07Q3SWXXJ-2020-04-15-00_50_02.png,https://www.amazon.com/Castle-Tool-Removal-Installation-Types/dp/B07Q3SWXXJ
"Explosives, Weapons, and Related Items","Assault weapon and AR-specific tools, such as:  AR-15/M16 armorer’s wrenches or combo wrenches",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,AR-15 armorer’s wrenches,B083DCW4MV,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B083DCW4MV-2020-04-02-22_44_26.png,https://www.amazon.com/Spanner-Locknut-Removal-Tighten-Non-Slip/dp/B083DCW4MV
"Explosives, Weapons, and Related Items","Assault weapon and AR-specific tools, such as: Vise blocks",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,AR-15 vise blocks,B07R6JVHM4,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07R6JVHM4-2020-04-02-00_24_17.png,https://www.amazon.com/ATG-Patch-NcSTAR-Heavy-Modular/dp/B07R6JVHM4
"Explosives, Weapons, and Related Items","Assault weapon and AR-specific tools, such as: Vise blocks",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,AR-15 vise blocks,B082WS661K,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B082WS661K-2020-05-14-14_59_59.png,https://www.amazon.com/Lead-Steel-Modern-Paperweight-Organizer/dp/B082WS661K
"Explosives, Weapons, and Related Items","Assault weapon and AR-specific tools, such as: Vise blocks",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,AR-15 vise blocks,B085X47SKW,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B085X47SKW-2020-05-14-15_03_27.png,https://www.amazon.com/Lead-and-Steel-Pencil-Holder/dp/B085X47SKW
"Explosives, Weapons, and Related Items","Barrels, barrel shrouds, barrel extenders, heat guards, hand guards, and vent cooling slots",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,Heat shields and handguards,B073YFV6T3,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B073YFV6T3-2020-04-15-01_20_22.png,https://www.amazon.com/Mossberg-Shotgun-Picatinny-Accessory-Mounting/dp/B073YFV6T3
"Explosives, Weapons, and Related Items","Barrels, barrel shrouds, barrel extenders, heat guards, hand guards, and vent cooling slots",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,Heat shields and handguards,B0842N2V7P,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B0842N2V7P-2020-04-15-01_33_31.png,https://www.amazon.com/Ladder-Handguard-Weaver-Picatinny-Resistant/dp/B0842N2V7P
"Explosives, Weapons, and Related Items",Caltrops,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Explosives-Weapons-and-Related-Items-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_47_24.png,Caltrops,B07WTT1MTD,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07WTT1MTD-2020-04-02-17_24_40.png,https://www.amazon.com/Vehicle-Security-Spike-Protection-Large/dp/B07WTT1MTD
